id,date,time,activity,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
1,3/15/21,22-50-16,0,-7,-9,1020,-980,-1400,980
2,3/15/21,22-50-16,0,-7,-9,1020,-980,-1400,980
3,3/15/21,22-50-17,0,-7,-9,1020,-980,-1400,980
4,3/15/21,22-50-17,0,-7,-9,1020,-980,-1400,980
5,3/15/21,22-50-17,0,-7,-9,1020,-980,-1400,980
6,3/15/21,22-50-18,0,-7,-9,1020,-980,-1400,980
7,3/15/21,22-50-18,0,-7,-9,1020,-980,-1400,980
8,3/15/21,22-50-18,0,-7,-9,1020,-980,-1400,980
9,3/15/21,22-50-19,0,-7,-9,1020,-980,-1400,980
10,3/15/21,22-50-19,0,-7,-9,1020,-980,-1400,980
11,3/15/21,22-50-19,0,-7,-9,1020,-980,-1400,980
12,3/15/21,22-50-20,0,-7,-9,1020,-980,-1400,980
13,3/15/21,22-50-20,0,-7,-10,1021,-980,-1470,980
14,3/15/21,22-50-20,0,-7,-10,1021,-980,-1470,980
15,3/15/21,22-50-21,0,-7,-10,1021,-980,-1470,980
16,3/15/21,22-50-21,0,-7,-10,1021,-980,-1470,980
17,3/15/21,22-50-21,0,-7,-10,1021,-980,-1470,980
18,3/15/21,22-50-22,0,-7,-10,1021,-980,-1470,980
19,3/15/21,22-50-22,0,-7,-10,1021,-980,-1470,980
20,3/15/21,22-50-23,0,-7,-10,1021,-980,-1470,980
21,3/15/21,22-50-23,0,-7,-10,1021,-980,-1470,980
22,3/15/21,22-50-23,0,-7,-10,1021,-980,-1470,980
23,3/15/21,22-50-24,0,-7,-10,1021,-980,-1470,980
24,3/15/21,22-50-24,0,-7,-10,1021,-980,-1470,980
25,3/15/21,22-50-24,0,-7,-10,1021,-980,-1470,980
26,3/15/21,22-50-25,0,-7,-10,1021,-980,-1470,980
27,3/15/21,22-50-25,0,-7,-10,1020,-980,-1470,980
28,3/15/21,22-50-25,0,-7,-10,1020,-980,-1470,980
29,3/15/21,22-50-26,0,-7,-10,1020,-980,-1470,980
30,3/15/21,22-50-26,0,-7,-10,1020,-980,-1470,980
31,3/15/21,22-50-27,0,-7,-10,1020,-980,-1470,980
32,3/15/21,22-50-27,0,-7,-10,1020,-980,-1470,980
33,3/15/21,22-50-27,0,-7,-10,1020,-980,-1470,980
34,3/15/21,22-50-28,0,-7,-10,1020,-980,-1470,980
35,3/15/21,22-50-28,0,-7,-10,1020,-980,-1470,980
36,3/15/21,22-50-29,0,-7,-10,1020,-980,-1470,980
37,3/15/21,22-50-29,0,-7,-10,1020,-980,-1470,980
38,3/15/21,22-50-29,0,-7,-10,1020,-980,-1470,980
39,3/15/21,22-50-30,0,-7,-10,1020,-980,-1470,980
40,3/15/21,22-50-30,0,-7,-10,1020,-980,-1400,980
41,3/15/21,22-50-31,0,-7,-10,1020,-980,-1400,980
42,3/15/21,22-50-31,0,-7,-10,1020,-980,-1400,980
43,3/15/21,22-50-32,0,-7,-10,1020,-980,-1400,980
44,3/15/21,22-50-32,0,-7,-10,1020,-980,-1400,980
45,3/15/21,22-50-32,0,-7,-10,1020,-980,-1400,980
46,3/15/21,22-50-33,0,-7,-10,1020,-980,-1400,980
47,3/15/21,22-50-33,0,-7,-10,1020,-980,-1400,980
48,3/15/21,22-50-34,0,-7,-10,1020,-980,-1400,980
49,3/15/21,22-50-34,0,-7,-10,1020,-980,-1400,980
50,3/15/21,22-50-34,0,-7,-10,1020,-980,-1400,980
51,3/15/21,22-50-35,0,-7,-10,1020,-980,-1400,980
52,3/15/21,22-50-35,0,-6,-9,1020,-980,-1470,980
53,3/15/21,22-50-35,0,-6,-9,1020,-980,-1470,980
54,3/15/21,22-50-36,0,-6,-9,1020,-980,-1470,980
55,3/15/21,22-50-36,0,-6,-9,1020,-980,-1470,980
56,3/15/21,22-50-37,0,-6,-9,1020,-980,-1470,980
57,3/15/21,22-50-37,0,-6,-9,1020,-980,-1470,980
58,3/15/21,22-50-37,0,-6,-9,1020,-980,-1470,980
59,3/15/21,22-50-38,0,-6,-9,1020,-980,-1470,980
60,3/15/21,22-50-38,0,-6,-9,1020,-980,-1470,980
61,3/15/21,22-50-38,0,-6,-9,1020,-980,-1470,980
62,3/15/21,22-50-39,0,-6,-9,1020,-980,-1470,980
63,3/15/21,22-50-39,0,-6,-9,1020,-980,-1470,980
64,3/15/21,22-50-39,0,-6,-9,1020,-980,-1470,980
65,3/15/21,22-50-40,0,-6,-9,1020,-980,-1470,980
66,3/15/21,22-50-40,0,-7,-9,1020,-980,-1470,980
67,3/15/21,22-50-41,0,-7,-9,1020,-980,-1470,980
68,3/15/21,23-00-00,0,-7,-9,1020,-980,-1470,980
69,3/15/21,23-00-01,0,-6,-10,1019,-980,-1400,980
70,3/15/21,23-00-01,0,-6,-10,1019,-980,-1400,980
71,3/15/21,23-00-01,0,-6,-10,1019,-980,-1400,980
72,3/15/21,23-00-02,0,-6,-10,1019,-980,-1400,980
73,3/15/21,23-00-02,0,-6,-10,1019,-980,-1400,980
74,3/15/21,23-00-02,0,-6,-10,1019,-980,-1400,980
75,3/15/21,23-00-03,0,-6,-10,1019,-980,-1400,980
76,3/15/21,23-00-03,0,-6,-10,1019,-980,-1400,980
77,3/15/21,23-00-03,0,-6,-10,1019,-980,-1400,980
78,3/15/21,23-00-04,0,-6,-10,1019,-980,-1400,980
79,3/15/21,23-00-04,0,-6,-10,1019,-980,-1400,980
80,3/15/21,23-00-04,0,-6,-10,1019,-980,-1400,980
81,3/15/21,23-00-05,0,-6,-10,1019,-980,-1400,980
82,3/15/21,23-00-05,0,-6,-9,1020,-980,-1470,980
83,3/15/21,23-00-05,0,-6,-9,1020,-980,-1470,980
84,3/15/21,23-00-06,0,-6,-9,1020,-980,-1470,980
85,3/15/21,23-00-06,0,-6,-9,1020,-980,-1470,980
86,3/15/21,23-00-06,0,-6,-9,1020,-980,-1470,980
87,3/15/21,23-00-07,0,-6,-9,1020,-980,-1470,980
88,3/15/21,23-00-07,0,-6,-9,1020,-980,-1470,980
89,3/15/21,23-00-08,0,-6,-9,1020,-980,-1470,980
90,3/15/21,23-00-08,0,-6,-9,1020,-980,-1470,980
91,3/15/21,23-00-08,0,-6,-9,1020,-980,-1470,980
92,3/15/21,23-00-09,0,-6,-9,1020,-980,-1470,980
93,3/15/21,23-00-09,0,-6,-9,1020,-980,-1470,980
94,3/15/21,23-00-09,0,-6,-9,1020,-980,-1470,980
95,3/15/21,23-00-10,0,-6,-9,1020,-980,-1470,980
96,3/15/21,23-00-10,0,-7,-8,1020,-980,-1400,980
97,3/15/21,23-00-10,0,-7,-8,1020,-980,-1400,980
98,3/15/21,23-00-11,0,-7,-8,1020,-980,-1400,980
99,3/15/21,23-00-11,0,-7,-8,1020,-980,-1400,980
100,3/15/21,23-00-11,0,-7,-8,1020,-980,-1400,980
101,3/15/21,23-00-12,0,-7,-8,1020,-980,-1400,980
102,3/15/21,23-00-12,0,-7,-8,1020,-980,-1400,980
103,3/15/21,23-00-13,0,-7,-8,1020,-980,-1400,980
104,3/15/21,23-00-13,0,-7,-8,1020,-980,-1400,980
105,3/15/21,23-00-13,0,-7,-8,1020,-980,-1400,980
106,3/15/21,23-00-14,0,-7,-8,1020,-980,-1400,980
107,3/15/21,23-00-14,0,-7,-8,1020,-980,-1400,980
108,3/15/21,23-00-15,0,-7,-8,1020,-980,-1400,980
109,3/15/21,23-00-15,0,-7,-8,1020,-980,-1400,980
110,3/15/21,23-00-15,0,-6,-10,1020,-980,-1540,980
111,3/15/21,23-00-16,0,-6,-10,1020,-980,-1540,980
112,3/15/21,23-00-16,0,-6,-10,1020,-980,-1540,980
113,3/15/21,23-00-16,0,-6,-10,1020,-980,-1540,980
114,3/15/21,23-00-17,0,-6,-10,1020,-980,-1540,980
115,3/15/21,23-00-17,0,-6,-10,1020,-980,-1540,980
116,3/15/21,23-00-18,0,-6,-10,1020,-980,-1540,980
117,3/15/21,23-00-18,0,-6,-10,1020,-980,-1540,980
118,3/15/21,23-00-18,0,-6,-10,1020,-980,-1540,980
119,3/15/21,23-00-19,0,-6,-10,1020,-980,-1540,980
